Time,Pods,CPU_Current,CPU_Target,Min_Replicas,Current_Replicas,Max_Replicas
110s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,15m
111s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,15m
112s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,15m
113s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,15m
114s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,15m
115s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,15m
116s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,15m
117s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,15m
118s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,15m
119s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,16m
120s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,16m
121s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,28%/60%,,memory:,65%/70%,,,1,,,,,15,,,,15,,,,16m
122s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,27%/60%,,memory:,64%/70%,,,1,,,,,15,,,,15,,,,16m
123s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,27%/60%,,memory:,64%/70%,,,1,,,,,15,,,,15,,,,16m
124s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,27%/60%,,memory:,64%/70%,,,1,,,,,15,,,,15,,,,16m
125s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,27%/60%,,memory:,64%/70%,,,1,,,,,15,,,,15,,,,16m
126s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,27%/60%,,memory:,64%/70%,,,1,,,,,15,,,,15,,,,16m
127s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,27%/60%,,memory:,64%/70%,,,1,,,,,15,,,,15,,,,16m
128s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,27%/60%,,memory:,64%/70%,,,1,,,,,15,,,,15,,,,16m
129s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,27%/60%,,memory:,64%/70%,,,1,,,,,15,,,,15,,,,16m
130s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,27%/60%,,memory:,64%/70%,,,1,,,,,15,,,,15,,,,16m
131s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,27%/60%,,memory:,64%/70%,,,1,,,,,15,,,,15,,,,16m
